Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-07-05,0.4782713495753881,0.3012818376024739,0.220446812822138,270444477.0,0,2321.9228515625,2321.9228515625,2163.04150390625,2198.58251953125,2198.58251953125,20103794829,2260.252685546875
2021-07-06,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2197.91943359375,2346.294921875,2197.91943359375,2324.679443359375,2324.679443359375,20891861314,2261.2994384765625
2021-07-07,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2323.20849609375,2403.7734375,2298.02685546875,2315.161865234375,2315.161865234375,22398345285,2319.1851806640625
2021-07-08,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2317.94921875,2324.0068359375,2089.414306640625,2120.0263671875,2120.0263671875,23188123689,2218.98779296875
2021-07-09,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2115.573974609375,2185.376220703125,2051.066650390625,2146.6923828125,2146.6923828125,23029574602,2131.1331787109375
2021-07-10,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2146.999755859375,2190.1240234375,2081.923583984375,2111.403564453125,2111.403564453125,17581542471,2129.20166015625
2021-07-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2110.875732421875,2172.6533203125,2083.8037109375,2139.664794921875,2139.664794921875,14705386138,2125.270263671875
2021-07-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2140.5068359375,2167.710205078125,2011.0189208984375,2036.7210693359375,2036.7210693359375,17768129077,2088.6139526367188
2021-07-13,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,2034.098388671875,2040.693603515625,1922.577880859375,1940.083984375,1940.083984375,16621628658,1987.0911865234375
2021-07-14,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1941.1678466796875,2015.107421875,1869.22314453125,1994.331298828125,1994.331298828125,17342819679,1967.7495727539062
2021-07-15,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1994.7120361328125,2037.7425537109375,1883.272216796875,1911.1756591796875,1911.1756591796875,15688092552,1952.94384765625
2021-07-16,0.363993583693586,0.1741611141333003,0.4618453021731136,115245743.0,0,1916.598388671875,1959.6962890625,1853.59033203125,1880.3829345703125,1880.3829345703125,14884569147,1898.4906616210938
2021-07-17,0.3542258364822659,0.3403798708066641,0.30539429271107,135474480.0,0,1876.88134765625,1917.597900390625,1855.5908203125,1898.8251953125,1898.8251953125,13364282076,1887.853271484375
2021-07-18,0.2627692780050578,0.407165984928072,0.3300647370668702,196799772.0,0,1900.1943359375,1988.33642578125,1883.0125732421875,1895.5521240234375,1895.5521240234375,13791868728,1897.8732299804688
2021-07-19,0.3099400634962216,0.2885436752832649,0.4015162612205133,301779531.0,0,1893.0535888671875,1916.1180419921875,1807.909912109375,1817.296630859375,1817.296630859375,14157735481,1855.1751098632812
2021-07-20,0.2698350701717758,0.431234571959648,0.2989303578685762,445287434.0,0,1819.08203125,1836.998046875,1722.05078125,1787.5107421875,1787.5107421875,17368597636,1803.29638671875
2021-07-21,0.2999094053232572,0.4184504943835651,0.2816401002931776,507954790.0,0,1786.2762451171875,2025.680419921875,1759.0233154296875,1990.9708251953125,1990.9708251953125,21253359756,1888.62353515625
2021-07-22,0.3203447618273429,0.3674675905692321,0.3121876476034249,393480453.0,0,1994.8228759765625,2044.116455078125,1954.2978515625,2025.2027587890625,2025.2027587890625,17495480331,2010.0128173828125
2021-07-23,0.2330166540101709,0.4782908986935935,0.2886924472962356,557888755.0,0,2025.105712890625,2129.441162109375,2000.436279296875,2124.776611328125,2124.776611328125,16200392492,2074.941162109375
2021-07-24,0.2876716309573334,0.4349548431681413,0.2773735258745252,213008411.0,0,2123.961181640625,2197.6494140625,2107.323486328125,2189.21875,2189.21875,16057446601,2156.5899658203125
2021-07-25,0.2123536478294054,0.5360653566077764,0.2515809955628181,63169374.0,0,2187.1455078125,2194.438232421875,2108.829833984375,2191.373779296875,2191.373779296875,14566483636,2189.2596435546875
